# time_ps largest_cluster_rg_nm
3050000.000000 11.7165178808
3051000.000000 7.0225918508
3052000.000000 3.4993965659
3053000.000000 3.6380702612
3054000.000000 6.0379898641
3055000.000000 8.2294813247
3056000.000000 7.8656491036
3057000.000000 8.4513811607
3058000.000000 7.0951069175
3059000.000000 6.3756742145
3060000.000000 7.7714109421
3061000.000000 7.7743119026
3062000.000000 7.6590224998
3063000.000000 8.1243058365
3064000.000000 7.5327577083
3065000.000000 5.3944270174
3066000.000000 4.9475703156
3067000.000000 5.8005853952
3068000.000000 6.6344836029
3069000.000000 6.2165603382
3070000.000000 5.8820662461
3071000.000000 8.0566689934
3072000.000000 7.4665452516
3073000.000000 6.4602612140
3074000.000000 4.9011075364
3075000.000000 4.5582252554
3076000.000000 3.9641069011
3077000.000000 5.4637736939
3078000.000000 7.1537486878
3079000.000000 3.3649038498
3080000.000000 6.1841854678
3081000.000000 4.9926819431
3082000.000000 8.6518921487
3083000.000000 3.0204500467
3084000.000000 9.2760108851
3085000.000000 8.6283856644
3086000.000000 6.3641011727
3087000.000000 6.4468493845
3088000.000000 3.1386386438
3089000.000000 3.5681282183
3090000.000000 5.9175147140
3091000.000000 9.3959968487
3092000.000000 17.1332715280
3093000.000000 13.7160981060
3094000.000000 7.1635901415
3095000.000000 4.1059319396
3096000.000000 3.8345311204
3097000.000000 6.0804732469
3098000.000000 8.3372965004
3099000.000000 9.2259302731
3100000.000000 6.5555440726
3101000.000000 10.8824552094
3102000.000000 9.8215240058
3103000.000000 9.5914314941
3104000.000000 7.5559572278
3105000.000000 7.2878660579
3106000.000000 5.2434387703
3107000.000000 9.6797604217
3108000.000000 10.3283972758
3109000.000000 9.2117927761
3110000.000000 7.3155212169
3111000.000000 7.3904933783
3112000.000000 9.9647214162
3113000.000000 7.6338930565
3114000.000000 8.8127003785
3115000.000000 5.9235161503
3116000.000000 6.4529977666
3117000.000000 8.7935271405
3118000.000000 9.2252984905
3119000.000000 7.9794005511
3120000.000000 7.8463019159
3121000.000000 6.5405057632
3122000.000000 7.1285021657
3123000.000000 8.3328842812
3124000.000000 8.0721058026
3125000.000000 9.4729297290
3126000.000000 4.2275001820
3127000.000000 3.8840437006
3128000.000000 8.9250900033
3129000.000000 7.4495608376
3130000.000000 12.6691861915
3131000.000000 11.4899782838
3132000.000000 7.0500729723
3133000.000000 3.5656867021
3134000.000000 9.4015465566
3135000.000000 7.3720467676
3136000.000000 6.7407026372
3137000.000000 4.6419815341
3138000.000000 7.9176300191
3139000.000000 8.2214527407
3140000.000000 7.8038862669
3141000.000000 7.7472967539
3142000.000000 9.7592129012
3143000.000000 5.0503095888
3144000.000000 7.0642172032
